year_blt,cumulative_units,summit_population,us_population,us_total_housing_units,fed_interest_rate
0,3,,,,
1875,5,,,,
1880,8,,,,
1881,9,,,,
1882,10,,,,
1883,11,,,,
1884,12,,,,
1885,14,,,,
1886,16,,,,
1890,40,,,,
1893,41,,,,
1895,42,,,,
1896,45,,,,
1899,46,,,,
1900,72,,,,
1901,73,,,,
1902,75,,,,
1904,77,,,,
1905,84,,,,
1908,85,,,,
1909,86,,,,
1910,94,,,,
1912,95,,,,
1913,96,,,,
1915,102,,,,
1916,103,,,,
1917,106,,,,
1918,107,,,,
1920,120,,,,
1921,121,,,,
1922,122,,,,
1923,124,,,,
1924,125,,,,
1925,129,,,,
1926,130,,,,
1928,131,,,,
1930,143,,,,
1931,144,,,,
1932,149,,,,
1933,152,,,,
1935,158,,,,
1936,161,,,,
1938,176,,,,
1939,182,,,,
1940,195,,,,
1941,196,,,,
1942,200,,,,
1943,201,,,,
1944,203,,,,
1945,206,,,,
1946,210,,,,
1947,212,,,,
1948,226,,,,
1950,245,,,,
1951,249,,,,
1952,253,,,,
1953,259,,,,
1954,261,,,,
1955,276,,,,
1956,291,,,,
1957,298,,,,
1958,313,,,,
1959,323,,,,
1960,348,,,,
1961,389,,,,
1962,436,,,,
1963,513,,,,
1964,597,,,,
1965,811,,,,
1966,1043,,,,
1967,1170,,,,
1968,1380,,,,
1969,1614,,,,
1970,1921,2.665,205052000.0,,8.98
1970,1921,2.665,205052000.0,,8.98
1970,1921,2.665,205052000.0,,7.76
1970,1921,2.665,205052000.0,,8.1
1970,1921,2.665,205052000.0,,7.95
1970,1921,2.665,205052000.0,,7.61
1970,1921,2.665,205052000.0,,7.21
1970,1921,2.665,205052000.0,,6.62
1970,1921,2.665,205052000.0,,6.29
1970,1921,2.665,205052000.0,,6.2
1970,1921,2.665,205052000.0,,5.6
1970,1921,2.665,205052000.0,,4.9
1971,2360,3.3,207661000.0,,4.14
1971,2360,3.3,207661000.0,,3.72
1971,2360,3.3,207661000.0,,3.71
1971,2360,3.3,207661000.0,,4.16
1971,2360,3.3,207661000.0,,4.63
1971,2360,3.3,207661000.0,,4.91
1971,2360,3.3,207661000.0,,5.31
1971,2360,3.3,207661000.0,,5.57
1971,2360,3.3,207661000.0,,5.55
1971,2360,3.3,207661000.0,,5.2
1971,2360,3.3,207661000.0,,4.91
1971,2360,3.3,207661000.0,,4.14
1972,3870,4.0,209896000.0,,3.51
1972,3870,4.0,209896000.0,,3.3
1972,3870,4.0,209896000.0,,3.83
1972,3870,4.0,209896000.0,,4.17
1972,3870,4.0,209896000.0,,4.27
1972,3870,4.0,209896000.0,,4.46
1972,3870,4.0,209896000.0,,4.55
1972,3870,4.0,209896000.0,,4.81
1972,3870,4.0,209896000.0,,4.87
1972,3870,4.0,209896000.0,,5.05
1972,3870,4.0,209896000.0,,5.06
1972,3870,4.0,209896000.0,,5.33
1973,5163,4.9,211909000.0,,5.94
1973,5163,4.9,211909000.0,,6.58
1973,5163,4.9,211909000.0,,7.09
1973,5163,4.9,211909000.0,,7.12
1973,5163,4.9,211909000.0,,7.84
1973,5163,4.9,211909000.0,,8.49
1973,5163,4.9,211909000.0,,10.4
1973,5163,4.9,211909000.0,,10.5
1973,5163,4.9,211909000.0,,10.78
1973,5163,4.9,211909000.0,,10.01
1973,5163,4.9,211909000.0,,10.03
1973,5163,4.9,211909000.0,,9.95
1974,6049,5.6,213854000.0,,9.65
1974,6049,5.6,213854000.0,,8.97
1974,6049,5.6,213854000.0,,9.35
1974,6049,5.6,213854000.0,,10.51
1974,6049,5.6,213854000.0,,11.31
1974,6049,5.6,213854000.0,,11.93
1974,6049,5.6,213854000.0,,12.92
1974,6049,5.6,213854000.0,,12.01
1974,6049,5.6,213854000.0,,11.34
1974,6049,5.6,213854000.0,,10.06
1974,6049,5.6,213854000.0,,9.45
1974,6049,5.6,213854000.0,,8.53
1975,6324,5.9,215973000.0,,7.13
1975,6324,5.9,215973000.0,,6.24
1975,6324,5.9,215973000.0,,5.54
1975,6324,5.9,215973000.0,,5.49
1975,6324,5.9,215973000.0,,5.22
1975,6324,5.9,215973000.0,,5.55
1975,6324,5.9,215973000.0,,6.1
1975,6324,5.9,215973000.0,,6.14
1975,6324,5.9,215973000.0,,6.24
1975,6324,5.9,215973000.0,,5.82
1975,6324,5.9,215973000.0,,5.22
1975,6324,5.9,215973000.0,,5.2
1976,6628,6.5,218035000.0,,4.87
1976,6628,6.5,218035000.0,,4.77
1976,6628,6.5,218035000.0,,4.84
1976,6628,6.5,218035000.0,,4.82
1976,6628,6.5,218035000.0,,5.29
1976,6628,6.5,218035000.0,,5.48
1976,6628,6.5,218035000.0,,5.31
1976,6628,6.5,218035000.0,,5.29
1976,6628,6.5,218035000.0,,5.25
1976,6628,6.5,218035000.0,,5.02
1976,6628,6.5,218035000.0,,4.95
1976,6628,6.5,218035000.0,,4.65
1977,7171,7.3,220239000.0,,4.61
1977,7171,7.3,220239000.0,,4.68
1977,7171,7.3,220239000.0,,4.69
1977,7171,7.3,220239000.0,,4.73
1977,7171,7.3,220239000.0,,5.35
1977,7171,7.3,220239000.0,,5.39
1977,7171,7.3,220239000.0,,5.42
1977,7171,7.3,220239000.0,,5.9
1977,7171,7.3,220239000.0,,6.14
1977,7171,7.3,220239000.0,,6.47
1977,7171,7.3,220239000.0,,6.51
1977,7171,7.3,220239000.0,,6.56
1978,7774,8.0,222585000.0,,6.7
1978,7774,8.0,222585000.0,,6.78
1978,7774,8.0,222585000.0,,6.79
1978,7774,8.0,222585000.0,,6.89
1978,7774,8.0,222585000.0,,7.36
1978,7774,8.0,222585000.0,,7.6
1978,7774,8.0,222585000.0,,7.81
1978,7774,8.0,222585000.0,,8.04
1978,7774,8.0,222585000.0,,8.45
1978,7774,8.0,222585000.0,,8.96
1978,7774,8.0,222585000.0,,9.76
1978,7774,8.0,222585000.0,,10.03
1979,9186,8.6,225055000.0,,10.07
1979,9186,8.6,225055000.0,,10.06
1979,9186,8.6,225055000.0,,10.09
1979,9186,8.6,225055000.0,,10.01
1979,9186,8.6,225055000.0,,10.24
1979,9186,8.6,225055000.0,,10.29
1979,9186,8.6,225055000.0,,10.47
1979,9186,8.6,225055000.0,,10.94
1979,9186,8.6,225055000.0,,11.43
1979,9186,8.6,225055000.0,,13.77
1979,9186,8.6,225055000.0,,13.18
1979,9186,8.6,225055000.0,,13.78
1980,10522,8.848,227225000.0,,13.82
1980,10522,8.848,227225000.0,,14.13
1980,10522,8.848,227225000.0,,17.19
1980,10522,8.848,227225000.0,,17.61
1980,10522,8.848,227225000.0,,10.98
1980,10522,8.848,227225000.0,,9.47
1980,10522,8.848,227225000.0,,9.03
1980,10522,8.848,227225000.0,,9.61
1980,10522,8.848,227225000.0,,10.87
1980,10522,8.848,227225000.0,,12.81
1980,10522,8.848,227225000.0,,15.85
1980,10522,8.848,227225000.0,,18.9
1981,11528,9.388,229466000.0,,19.08
1981,11528,9.388,229466000.0,,15.93
1981,11528,9.388,229466000.0,,14.7
1981,11528,9.388,229466000.0,,15.72
1981,11528,9.388,229466000.0,,18.52
1981,11528,9.388,229466000.0,,19.1
1981,11528,9.388,229466000.0,,19.04
1981,11528,9.388,229466000.0,,17.82
1981,11528,9.388,229466000.0,,15.87
1981,11528,9.388,229466000.0,,15.08
1981,11528,9.388,229466000.0,,13.31
1981,11528,9.388,229466000.0,,12.37
1982,12257,10.273,231664000.0,,13.22
1982,12257,10.273,231664000.0,,14.78
1982,12257,10.273,231664000.0,,14.68
1982,12257,10.273,231664000.0,,14.94
1982,12257,10.273,231664000.0,,14.45
1982,12257,10.273,231664000.0,,14.15
1982,12257,10.273,231664000.0,,12.59
1982,12257,10.273,231664000.0,,10.12
1982,12257,10.273,231664000.0,,10.31
1982,12257,10.273,231664000.0,,9.71
1982,12257,10.273,231664000.0,,9.2
1982,12257,10.273,231664000.0,,8.95
1983,12997,10.688,233792000.0,,8.68
1983,12997,10.688,233792000.0,,8.51
1983,12997,10.688,233792000.0,,8.77
1983,12997,10.688,233792000.0,,8.8
1983,12997,10.688,233792000.0,,8.63
1983,12997,10.688,233792000.0,,8.98
1983,12997,10.688,233792000.0,,9.37
1983,12997,10.688,233792000.0,,9.56
1983,12997,10.688,233792000.0,,9.45
1983,12997,10.688,233792000.0,,9.48
1983,12997,10.688,233792000.0,,9.34
1983,12997,10.688,233792000.0,,9.47
1984,13656,10.636,235825000.0,,9.56
1984,13656,10.636,235825000.0,,9.59
1984,13656,10.636,235825000.0,,9.91
1984,13656,10.636,235825000.0,,10.29
1984,13656,10.636,235825000.0,,10.32
1984,13656,10.636,235825000.0,,11.06
1984,13656,10.636,235825000.0,,11.23
1984,13656,10.636,235825000.0,,11.64
1984,13656,10.636,235825000.0,,11.3
1984,13656,10.636,235825000.0,,9.99
1984,13656,10.636,235825000.0,,9.43
1984,13656,10.636,235825000.0,,8.38
1985,14311,11.058,237924000.0,,8.35
1985,14311,11.058,237924000.0,,8.5
1985,14311,11.058,237924000.0,,8.58
1985,14311,11.058,237924000.0,,8.27
1985,14311,11.058,237924000.0,,7.97
1985,14311,11.058,237924000.0,,7.53
1985,14311,11.058,237924000.0,,7.88
1985,14311,11.058,237924000.0,,7.9
1985,14311,11.058,237924000.0,,7.92
1985,14311,11.058,237924000.0,,7.99
1985,14311,11.058,237924000.0,,8.05
1985,14311,11.058,237924000.0,,8.27
1986,14570,11.477,240133000.0,,8.14
1986,14570,11.477,240133000.0,,7.86
1986,14570,11.477,240133000.0,,7.48
1986,14570,11.477,240133000.0,,6.99
1986,14570,11.477,240133000.0,,6.85
1986,14570,11.477,240133000.0,,6.92
1986,14570,11.477,240133000.0,,6.56
1986,14570,11.477,240133000.0,,6.17
1986,14570,11.477,240133000.0,,5.89
1986,14570,11.477,240133000.0,,5.85
1986,14570,11.477,240133000.0,,6.04
1986,14570,11.477,240133000.0,,6.91
1987,14712,11.415,242289000.0,,6.43
1987,14712,11.415,242289000.0,,6.1
1987,14712,11.415,242289000.0,,6.13
1987,14712,11.415,242289000.0,,6.37
1987,14712,11.415,242289000.0,,6.85
1987,14712,11.415,242289000.0,,6.73
1987,14712,11.415,242289000.0,,6.58
1987,14712,11.415,242289000.0,,6.73
1987,14712,11.415,242289000.0,,7.22
1987,14712,11.415,242289000.0,,7.29
1987,14712,11.415,242289000.0,,6.69
1987,14712,11.415,242289000.0,,6.77
1988,14808,11.634,244499000.0,,6.83
1988,14808,11.634,244499000.0,,6.58
1988,14808,11.634,244499000.0,,6.58
1988,14808,11.634,244499000.0,,6.87
1988,14808,11.634,244499000.0,,7.09
1988,14808,11.634,244499000.0,,7.51
1988,14808,11.634,244499000.0,,7.75
1988,14808,11.634,244499000.0,,8.01
1988,14808,11.634,244499000.0,,8.19
1988,14808,11.634,244499000.0,,8.3
1988,14808,11.634,244499000.0,,8.35
1988,14808,11.634,244499000.0,,8.76
1989,15068,12.191,246819000.0,,9.12
1989,15068,12.191,246819000.0,,9.36
1989,15068,12.191,246819000.0,,9.85
1989,15068,12.191,246819000.0,,9.84
1989,15068,12.191,246819000.0,,9.81
1989,15068,12.191,246819000.0,,9.53
1989,15068,12.191,246819000.0,,9.24
1989,15068,12.191,246819000.0,,8.99
1989,15068,12.191,246819000.0,,9.02
1989,15068,12.191,246819000.0,,8.84
1989,15068,12.191,246819000.0,,8.55
1989,15068,12.191,246819000.0,,8.45
1990,15366,13.124,249623000.0,,8.23
1990,15366,13.124,249623000.0,,8.24
1990,15366,13.124,249623000.0,,8.28
1990,15366,13.124,249623000.0,,8.26
1990,15366,13.124,249623000.0,,8.18
1990,15366,13.124,249623000.0,,8.29
1990,15366,13.124,249623000.0,,8.15
1990,15366,13.124,249623000.0,,8.13
1990,15366,13.124,249623000.0,,8.2
1990,15366,13.124,249623000.0,,8.11
1990,15366,13.124,249623000.0,,7.81
1990,15366,13.124,249623000.0,,7.31
1991,15676,13.962,252981000.0,,6.91
1991,15676,13.962,252981000.0,,6.25
1991,15676,13.962,252981000.0,,6.12
1991,15676,13.962,252981000.0,,5.91
1991,15676,13.962,252981000.0,,5.78
1991,15676,13.962,252981000.0,,5.9
1991,15676,13.962,252981000.0,,5.82
1991,15676,13.962,252981000.0,,5.66
1991,15676,13.962,252981000.0,,5.45
1991,15676,13.962,252981000.0,,5.21
1991,15676,13.962,252981000.0,,4.81
1991,15676,13.962,252981000.0,,4.43
1992,16012,15.025,256514000.0,,4.03
1992,16012,15.025,256514000.0,,4.06
1992,16012,15.025,256514000.0,,3.98
1992,16012,15.025,256514000.0,,3.73
1992,16012,15.025,256514000.0,,3.82
1992,16012,15.025,256514000.0,,3.76
1992,16012,15.025,256514000.0,,3.25
1992,16012,15.025,256514000.0,,3.3
1992,16012,15.025,256514000.0,,3.22
1992,16012,15.025,256514000.0,,3.1
1992,16012,15.025,256514000.0,,3.09
1992,16012,15.025,256514000.0,,2.92
1993,16483,16.169,259919000.0,,3.02
1993,16483,16.169,259919000.0,,3.03
1993,16483,16.169,259919000.0,,3.07
1993,16483,16.169,259919000.0,,2.96
1993,16483,16.169,259919000.0,,3.0
1993,16483,16.169,259919000.0,,3.04
1993,16483,16.169,259919000.0,,3.06
1993,16483,16.169,259919000.0,,3.03
1993,16483,16.169,259919000.0,,3.09
1993,16483,16.169,259919000.0,,2.99
1993,16483,16.169,259919000.0,,3.02
1993,16483,16.169,259919000.0,,2.96
1994,17372,17.49,263126000.0,,3.05
1994,17372,17.49,263126000.0,,3.25
1994,17372,17.49,263126000.0,,3.34
1994,17372,17.49,263126000.0,,3.56
1994,17372,17.49,263126000.0,,4.01
1994,17372,17.49,263126000.0,,4.25
1994,17372,17.49,263126000.0,,4.26
1994,17372,17.49,263126000.0,,4.47
1994,17372,17.49,263126000.0,,4.73
1994,17372,17.49,263126000.0,,4.76
1994,17372,17.49,263126000.0,,5.29
1994,17372,17.49,263126000.0,,5.45
1995,18256,18.873,266278000.0,,5.53
1995,18256,18.873,266278000.0,,5.92
1995,18256,18.873,266278000.0,,5.98
1995,18256,18.873,266278000.0,,6.05
1995,18256,18.873,266278000.0,,6.01
1995,18256,18.873,266278000.0,,6.0
1995,18256,18.873,266278000.0,,5.85
1995,18256,18.873,266278000.0,,5.74
1995,18256,18.873,266278000.0,,5.8
1995,18256,18.873,266278000.0,,5.76
1995,18256,18.873,266278000.0,,5.8
1995,18256,18.873,266278000.0,,5.6
1996,19252,19.9,269394000.0,,5.56
1996,19252,19.9,269394000.0,,5.22
1996,19252,19.9,269394000.0,,5.31
1996,19252,19.9,269394000.0,,5.22
1996,19252,19.9,269394000.0,,5.24
1996,19252,19.9,269394000.0,,5.27
1996,19252,19.9,269394000.0,,5.4
1996,19252,19.9,269394000.0,,5.22
1996,19252,19.9,269394000.0,,5.3
1996,19252,19.9,269394000.0,,5.24
1996,19252,19.9,269394000.0,,5.31
1996,19252,19.9,269394000.0,,5.29
1997,20249,20.976,272657000.0,,5.25
1997,20249,20.976,272657000.0,,5.19
1997,20249,20.976,272657000.0,,5.39
1997,20249,20.976,272657000.0,,5.51
1997,20249,20.976,272657000.0,,5.5
1997,20249,20.976,272657000.0,,5.56
1997,20249,20.976,272657000.0,,5.52
1997,20249,20.976,272657000.0,,5.54
1997,20249,20.976,272657000.0,,5.54
1997,20249,20.976,272657000.0,,5.5
1997,20249,20.976,272657000.0,,5.52
1997,20249,20.976,272657000.0,,5.5
1998,21474,21.702,275854000.0,,5.56
1998,21474,21.702,275854000.0,,5.51
1998,21474,21.702,275854000.0,,5.49
1998,21474,21.702,275854000.0,,5.45
1998,21474,21.702,275854000.0,,5.49
1998,21474,21.702,275854000.0,,5.56
1998,21474,21.702,275854000.0,,5.54
1998,21474,21.702,275854000.0,,5.55
1998,21474,21.702,275854000.0,,5.51
1998,21474,21.702,275854000.0,,5.07
1998,21474,21.702,275854000.0,,4.83
1998,21474,21.702,275854000.0,,4.68
1999,22892,23.069,279040000.0,,4.63
1999,22892,23.069,279040000.0,,4.76
1999,22892,23.069,279040000.0,,4.81
1999,22892,23.069,279040000.0,,4.74
1999,22892,23.069,279040000.0,,4.74
1999,22892,23.069,279040000.0,,4.76
1999,22892,23.069,279040000.0,,4.99
1999,22892,23.069,279040000.0,,5.07
1999,22892,23.069,279040000.0,,5.22
1999,22892,23.069,279040000.0,,5.2
1999,22892,23.069,279040000.0,,5.42
1999,22892,23.069,279040000.0,,5.3
2000,24122,23.709,282162411.0,116047.0,5.45
2000,24122,23.709,282162411.0,116047.0,5.73
2000,24122,23.709,282162411.0,116047.0,5.85
2000,24122,23.709,282162411.0,116047.0,6.02
2000,24122,23.709,282162411.0,116047.0,6.27
2000,24122,23.709,282162411.0,116047.0,6.53
2000,24122,23.709,282162411.0,116047.0,6.54
2000,24122,23.709,282162411.0,116047.0,6.5
2000,24122,23.709,282162411.0,116047.0,6.52
2000,24122,23.709,282162411.0,116047.0,6.51
2000,24122,23.709,282162411.0,116047.0,6.51
2000,24122,23.709,282162411.0,116047.0,6.4
2000,24122,23.709,282162411.0,116482.0,5.45
2000,24122,23.709,282162411.0,116482.0,5.73
2000,24122,23.709,282162411.0,116482.0,5.85
2000,24122,23.709,282162411.0,116482.0,6.02
2000,24122,23.709,282162411.0,116482.0,6.27
2000,24122,23.709,282162411.0,116482.0,6.53
2000,24122,23.709,282162411.0,116482.0,6.54
2000,24122,23.709,282162411.0,116482.0,6.5
2000,24122,23.709,282162411.0,116482.0,6.52
2000,24122,23.709,282162411.0,116482.0,6.51
2000,24122,23.709,282162411.0,116482.0,6.51
2000,24122,23.709,282162411.0,116482.0,6.4
2000,24122,23.709,282162411.0,116914.0,5.45
2000,24122,23.709,282162411.0,116914.0,5.73
2000,24122,23.709,282162411.0,116914.0,5.85
2000,24122,23.709,282162411.0,116914.0,6.02
2000,24122,23.709,282162411.0,116914.0,6.27
2000,24122,23.709,282162411.0,116914.0,6.53
2000,24122,23.709,282162411.0,116914.0,6.54
2000,24122,23.709,282162411.0,116914.0,6.5
2000,24122,23.709,282162411.0,116914.0,6.52
2000,24122,23.709,282162411.0,116914.0,6.51
2000,24122,23.709,282162411.0,116914.0,6.51
2000,24122,23.709,282162411.0,116914.0,6.4
2001,24637,24.722,284968955.0,117347.0,5.98
2001,24637,24.722,284968955.0,117347.0,5.49
2001,24637,24.722,284968955.0,117347.0,5.31
2001,24637,24.722,284968955.0,117347.0,4.8
2001,24637,24.722,284968955.0,117347.0,4.21
2001,24637,24.722,284968955.0,117347.0,3.97
2001,24637,24.722,284968955.0,117347.0,3.77
2001,24637,24.722,284968955.0,117347.0,3.65
2001,24637,24.722,284968955.0,117347.0,3.07
2001,24637,24.722,284968955.0,117347.0,2.49
2001,24637,24.722,284968955.0,117347.0,2.09
2001,24637,24.722,284968955.0,117347.0,1.82
2001,24637,24.722,284968955.0,117786.0,5.98
2001,24637,24.722,284968955.0,117786.0,5.49
2001,24637,24.722,284968955.0,117786.0,5.31
2001,24637,24.722,284968955.0,117786.0,4.8
2001,24637,24.722,284968955.0,117786.0,4.21
2001,24637,24.722,284968955.0,117786.0,3.97
2001,24637,24.722,284968955.0,117786.0,3.77
2001,24637,24.722,284968955.0,117786.0,3.65
2001,24637,24.722,284968955.0,117786.0,3.07
2001,24637,24.722,284968955.0,117786.0,2.49
2001,24637,24.722,284968955.0,117786.0,2.09
2001,24637,24.722,284968955.0,117786.0,1.82
2001,24637,24.722,284968955.0,118216.0,5.98
2001,24637,24.722,284968955.0,118216.0,5.49
2001,24637,24.722,284968955.0,118216.0,5.31
2001,24637,24.722,284968955.0,118216.0,4.8
2001,24637,24.722,284968955.0,118216.0,4.21
2001,24637,24.722,284968955.0,118216.0,3.97
2001,24637,24.722,284968955.0,118216.0,3.77
2001,24637,24.722,284968955.0,118216.0,3.65
2001,24637,24.722,284968955.0,118216.0,3.07
2001,24637,24.722,284968955.0,118216.0,2.49
2001,24637,24.722,284968955.0,118216.0,2.09
2001,24637,24.722,284968955.0,118216.0,1.82
2001,24637,24.722,284968955.0,118635.0,5.98
2001,24637,24.722,284968955.0,118635.0,5.49
2001,24637,24.722,284968955.0,118635.0,5.31
2001,24637,24.722,284968955.0,118635.0,4.8
2001,24637,24.722,284968955.0,118635.0,4.21
2001,24637,24.722,284968955.0,118635.0,3.97
2001,24637,24.722,284968955.0,118635.0,3.77
2001,24637,24.722,284968955.0,118635.0,3.65
2001,24637,24.722,284968955.0,118635.0,3.07
2001,24637,24.722,284968955.0,118635.0,2.49
2001,24637,24.722,284968955.0,118635.0,2.09
2001,24637,24.722,284968955.0,118635.0,1.82
2002,25064,24.995,287625193.0,119061.0,1.73
2002,25064,24.995,287625193.0,119061.0,1.74
2002,25064,24.995,287625193.0,119061.0,1.73
2002,25064,24.995,287625193.0,119061.0,1.75
2002,25064,24.995,287625193.0,119061.0,1.75
2002,25064,24.995,287625193.0,119061.0,1.75
2002,25064,24.995,287625193.0,119061.0,1.73
2002,25064,24.995,287625193.0,119061.0,1.74
2002,25064,24.995,287625193.0,119061.0,1.75
2002,25064,24.995,287625193.0,119061.0,1.75
2002,25064,24.995,287625193.0,119061.0,1.34
2002,25064,24.995,287625193.0,119061.0,1.24
2002,25064,24.995,287625193.0,119483.0,1.73
2002,25064,24.995,287625193.0,119483.0,1.74
2002,25064,24.995,287625193.0,119483.0,1.73
2002,25064,24.995,287625193.0,119483.0,1.75
2002,25064,24.995,287625193.0,119483.0,1.75
2002,25064,24.995,287625193.0,119483.0,1.75
2002,25064,24.995,287625193.0,119483.0,1.73
2002,25064,24.995,287625193.0,119483.0,1.74
2002,25064,24.995,287625193.0,119483.0,1.75
2002,25064,24.995,287625193.0,119483.0,1.75
2002,25064,24.995,287625193.0,119483.0,1.34
2002,25064,24.995,287625193.0,119483.0,1.24
2002,25064,24.995,287625193.0,119909.0,1.73
2002,25064,24.995,287625193.0,119909.0,1.74
2002,25064,24.995,287625193.0,119909.0,1.73
2002,25064,24.995,287625193.0,119909.0,1.75
2002,25064,24.995,287625193.0,119909.0,1.75
2002,25064,24.995,287625193.0,119909.0,1.75
2002,25064,24.995,287625193.0,119909.0,1.73
2002,25064,24.995,287625193.0,119909.0,1.74
2002,25064,24.995,287625193.0,119909.0,1.75
2002,25064,24.995,287625193.0,119909.0,1.75
2002,25064,24.995,287625193.0,119909.0,1.34
2002,25064,24.995,287625193.0,119909.0,1.24
2002,25064,24.995,287625193.0,120350.0,1.73
2002,25064,24.995,287625193.0,120350.0,1.74
2002,25064,24.995,287625193.0,120350.0,1.73
2002,25064,24.995,287625193.0,120350.0,1.75
2002,25064,24.995,287625193.0,120350.0,1.75
2002,25064,24.995,287625193.0,120350.0,1.75
2002,25064,24.995,287625193.0,120350.0,1.73
2002,25064,24.995,287625193.0,120350.0,1.74
2002,25064,24.995,287625193.0,120350.0,1.75
2002,25064,24.995,287625193.0,120350.0,1.75
2002,25064,24.995,287625193.0,120350.0,1.34
2002,25064,24.995,287625193.0,120350.0,1.24
2003,25422,25.358,290107933.0,120792.0,1.24
2003,25422,25.358,290107933.0,120792.0,1.26
2003,25422,25.358,290107933.0,120792.0,1.25
2003,25422,25.358,290107933.0,120792.0,1.26
2003,25422,25.358,290107933.0,120792.0,1.26
2003,25422,25.358,290107933.0,120792.0,1.22
2003,25422,25.358,290107933.0,120792.0,1.01
2003,25422,25.358,290107933.0,120792.0,1.03
2003,25422,25.358,290107933.0,120792.0,1.01
2003,25422,25.358,290107933.0,120792.0,1.01
2003,25422,25.358,290107933.0,120792.0,1.0
2003,25422,25.358,290107933.0,120792.0,0.98
2003,25422,25.358,290107933.0,121233.0,1.24
2003,25422,25.358,290107933.0,121233.0,1.26
2003,25422,25.358,290107933.0,121233.0,1.25
2003,25422,25.358,290107933.0,121233.0,1.26
2003,25422,25.358,290107933.0,121233.0,1.26
2003,25422,25.358,290107933.0,121233.0,1.22
2003,25422,25.358,290107933.0,121233.0,1.01
2003,25422,25.358,290107933.0,121233.0,1.03
2003,25422,25.358,290107933.0,121233.0,1.01
2003,25422,25.358,290107933.0,121233.0,1.01
2003,25422,25.358,290107933.0,121233.0,1.0
2003,25422,25.358,290107933.0,121233.0,0.98
2003,25422,25.358,290107933.0,121682.0,1.24
2003,25422,25.358,290107933.0,121682.0,1.26
2003,25422,25.358,290107933.0,121682.0,1.25
2003,25422,25.358,290107933.0,121682.0,1.26
2003,25422,25.358,290107933.0,121682.0,1.26
2003,25422,25.358,290107933.0,121682.0,1.22
2003,25422,25.358,290107933.0,121682.0,1.01
2003,25422,25.358,290107933.0,121682.0,1.03
2003,25422,25.358,290107933.0,121682.0,1.01
2003,25422,25.358,290107933.0,121682.0,1.01
2003,25422,25.358,290107933.0,121682.0,1.0
2003,25422,25.358,290107933.0,121682.0,0.98
2003,25422,25.358,290107933.0,122159.0,1.24
2003,25422,25.358,290107933.0,122159.0,1.26
2003,25422,25.358,290107933.0,122159.0,1.25
2003,25422,25.358,290107933.0,122159.0,1.26
2003,25422,25.358,290107933.0,122159.0,1.26
2003,25422,25.358,290107933.0,122159.0,1.22
2003,25422,25.358,290107933.0,122159.0,1.01
2003,25422,25.358,290107933.0,122159.0,1.03
2003,25422,25.358,290107933.0,122159.0,1.01
2003,25422,25.358,290107933.0,122159.0,1.01
2003,25422,25.358,290107933.0,122159.0,1.0
2003,25422,25.358,290107933.0,122159.0,0.98
2004,25792,25.219,292805298.0,122632.0,1.0
2004,25792,25.219,292805298.0,122632.0,1.01
2004,25792,25.219,292805298.0,122632.0,1.0
2004,25792,25.219,292805298.0,122632.0,1.0
2004,25792,25.219,292805298.0,122632.0,1.0
2004,25792,25.219,292805298.0,122632.0,1.03
2004,25792,25.219,292805298.0,122632.0,1.26
2004,25792,25.219,292805298.0,122632.0,1.43
2004,25792,25.219,292805298.0,122632.0,1.61
2004,25792,25.219,292805298.0,122632.0,1.76
