year,avg_value,return_pct
1990,334.63,-6.56
1991,376.19,26.31
1992,415.75,4.46
1993,451.61,7.06
1994,460.42,-1.54
1995,541.72,34.11
1996,670.49,20.26
1997,873.43,31.01
1998,1085.50,26.67
1999,1327.33,19.53
2000,1427.22,-10.14
2001,1192.57,-13.04
2002,993.93,-23.37
2003,965.23,26.38
2004,1130.65,8.99
2005,1207.23,3.00
2006,1310.46,13.62
2007,1477.18,3.53
2008,1220.04,-38.49
2009,948.05,23.45
2010,1139.97,12.78
2011,1267.64,0.00
2012,1379.61,13.41
2013,1643.80,29.60
2014,1931.38,11.39
2015,2061.07,-0.73
2016,2094.65,9.54
2017,2449.08,19.42
2018,2746.21,-6.24
2019,2913.36,28.88
2020,3217.86,16.26
2021,4273.41,26.89
2022,4097.49,-19.44
2023,4283.73,24.23
2024,5428.24,23.31